Transaction_ID,Date,Time,Merchant_Name,Category,Amount,Card_Last_4,Transaction_Type,Location,Status
TXN098,2024-11-28,17:30:15,Wayfair,Home Improvement,389.99,4532,Purchase,Online,Completed\
TXN099,2024-11-29,12:05:50,Zara,Shopping,198.45,4532,Purchase,Manhattan NY,Completed\
TXN100,2024-11-30,19:50:33,Ruth's Chris Steak House,Food & Dining,215.7,4532,Purchase,Manhattan NY,Completed}
TXN00001,2025-01-12,15:32:12,Starbucks Coffee,Food & Dining,159.17,4532,Purchase,New York NY,Completed
TXN00002,2025-01-08,03:56:41,Apple Store,Shopping,230.56,4532,Purchase,San Francisco CA,Completed
TXN00003,2025-01-03,13:15:19,Whole Foods Market,Groceries,137.56,4532,Purchase,New York NY,Completed
TXN00004,2025-01-09,20:55:04,McDonald's,Food & Dining,221.26,4532,Purchase,New York NY,Completed
TXN00005,2025-01-27,00:55:20,Shell Gas Station,Gas & Transportation,142.33,4532,Purchase,Brooklyn NY,Completed
TXN00006,2025-01-30,07:54:10,McDonald's,Food & Dining,123.66,4532,Purchase,New York NY,Completed
TXN00007,2025-01-15,05:49:40,Shell Gas Station,Gas & Transportation,97.6,4532,Purchase,Brooklyn NY,Completed
TXN00008,2025-01-25,11:17:17,Apple Store,Shopping,39.5,4532,Purchase,San Francisco CA,Completed
TXN00009,2025-01-23,21:01:04,Starbucks Coffee,Food & Dining,55.73,4532,Purchase,New York NY,Completed
TXN00010,2025-01-24,12:25:49,Amazon.com,Shopping,11.9,4532,Purchase,Online,Completed
TXN00011,2025-01-31,05:12:56,Starbucks Coffee,Food & Dining,247.06,4532,Purchase,New York NY,Completed
TXN00012,2025-01-06,07:33:39,Starbucks Coffee,Food & Dining,56.92,4532,Purchase,New York NY,Completed
TXN00013,2025-01-06,08:01:48,Netflix,Entertainment,57.14,4532,Purchase,Online,Completed
TXN00014,2025-01-06,20:18:23,Apple Store,Shopping,80.13,4532,Purchase,San Francisco CA,Completed
TXN00015,2025-01-14,04:20:29,Netflix,Entertainment,201.08,4532,Purchase,Online,Completed
TXN00016,2025-01-26,23:37:16,Amazon.com,Shopping,106.14,4532,Purchase,Online,Completed
TXN00017,2025-01-18,17:42:17,Amazon.com,Shopping,34.41,4532,Purchase,Online,Completed
TXN00018,2025-01-12,23:47:07,Amazon.com,Shopping,130.58,4532,Purchase,Online,Completed
TXN00019,2025-01-08,10:11:40,Starbucks Coffee,Food & Dining,88.97,4532,Purchase,New York NY,Completed
TXN00020,2025-01-04,09:50:01,Apple Store,Shopping,36.32,4532,Purchase,San Francisco CA,Completed
TXN00021,2025-01-22,16:25:33,Whole Foods Market,Groceries,36.34,4532,Purchase,New York NY,Completed
TXN00022,2025-01-17,00:49:03,Netflix,Entertainment,242.4,4532,Purchase,Online,Completed
TXN00023,2025-01-27,19:09:01,Netflix,Entertainment,101.57,4532,Purchase,Online,Completed
TXN00024,2025-01-20,02:37:50,McDonald's,Food & Dining,227.63,4532,Purchase,New York NY,Completed
TXN00025,2025-01-20,13:35:38,McDonald's,Food & Dining,185.77,4532,Purchase,New York NY,Completed
TXN00026,2025-01-08,03:08:27,Uber,Transportation,172.51,4532,Purchase,Online,Completed
TXN00027,2025-01-28,11:38:05,Apple Store,Shopping,36.18,4532,Purchase,San Francisco CA,Completed
TXN00028,2025-01-06,13:00:22,Shell Gas Station,Gas & Transportation,163.69,4532,Purchase,Brooklyn NY,Completed
TXN00029,2025-01-29,15:26:15,Whole Foods Market,Groceries,14.57,4532,Purchase,New York NY,Completed
TXN00030,2025-01-10,07:53:06,Uber,Transportation,39.45,4532,Purchase,Online,Completed
TXN00031,2025-01-04,20:34:52,Shell Gas Station,Gas & Transportation,134.26,4532,Purchase,Brooklyn NY,Completed
TXN00032,2025-01-08,19:04:00,Whole Foods Market,Groceries,249.83,4532,Purchase,New York NY,Completed
TXN00033,2025-01-20,18:39:31,Starbucks Coffee,Food & Dining,226.18,4532,Purchase,New York NY,Completed
TXN00034,2025-01-26,06:06:59,Apple Store,Shopping,216.87,4532,Purchase,San Francisco CA,Completed
TXN00035,2025-01-23,00:47:47,Netflix,Entertainment,24.88,4532,Purchase,Online,Completed
TXN00036,2025-01-15,07:03:09,Netflix,Entertainment,235.84,4532,Purchase,Online,Completed
TXN00037,2025-01-01,03:53:01,Netflix,Entertainment,239.21,4532,Purchase,Online,Completed
TXN00038,2025-01-10,18:59:05,Apple Store,Shopping,27.16,4532,Purchase,San Francisco CA,Completed
TXN00039,2025-01-01,05:35:21,Starbucks Coffee,Food & Dining,149.14,4532,Purchase,New York NY,Completed
TXN00040,2025-01-18,21:33:48,Uber,Transportation,71.51,4532,Purchase,Online,Completed
TXN00041,2025-01-14,13:45:20,Amazon.com,Shopping,15.13,4532,Purchase,Online,Completed
TXN00042,2025-01-15,03:02:53,Netflix,Entertainment,18.28,4532,Purchase,Online,Completed
TXN00043,2025-01-02,03:13:07,Whole Foods Market,Groceries,22.94,4532,Purchase,New York NY,Completed
TXN00044,2025-01-14,20:13:12,Netflix,Entertainment,123.33,4532,Purchase,Online,Completed
TXN00045,2025-01-09,13:21:14,Whole Foods Market,Groceries,214.48,4532,Purchase,New York NY,Completed
TXN00046,2025-01-31,21:36:13,Netflix,Entertainment,209.93,4532,Purchase,Online,Completed
TXN00047,2025-01-07,01:44:57,Starbucks Coffee,Food & Dining,115.72,4532,Purchase,New York NY,Completed
TXN00048,2025-01-12,20:55:07,Apple Store,Shopping,185.37,4532,Purchase,San Francisco CA,Completed
TXN00049,2025-01-31,07:05:13,Whole Foods Market,Groceries,168.6,4532,Purchase,New York NY,Completed
TXN00050,2025-01-15,19:03:19,Uber,Transportation,190.39,4532,Purchase,Online,Completed
TXN00051,2025-01-02,09:07:55,Starbucks Coffee,Food & Dining,39.68,4532,Purchase,New York NY,Completed
TXN00052,2025-01-17,00:10:49,Whole Foods Market,Groceries,23.44,4532,Purchase,New York NY,Completed
TXN00053,2025-01-11,16:22:23,Amazon.com,Shopping,36.73,4532,Purchase,Online,Completed
TXN00054,2025-01-05,12:46:56,McDonald's,Food & Dining,128.93,4532,Purchase,New York NY,Completed
TXN00055,2025-01-15,04:20:25,Uber,Transportation,193.3,4532,Purchase,Online,Completed
TXN00056,2025-01-10,17:17:43,Netflix,Entertainment,74.58,4532,Purchase,Online,Completed
TXN00057,2025-01-19,06:00:16,Netflix,Entertainment,135.07,4532,Purchase,Online,Completed
TXN00058,2025-01-25,03:43:40,Whole Foods Market,Groceries,53.28,4532,Purchase,New York NY,Completed
TXN00059,2025-01-19,06:46:07,Netflix,Entertainment,119.72,4532,Purchase,Online,Completed
TXN00060,2025-01-07,08:35:27,Whole Foods Market,Groceries,85.19,4532,Purchase,New York NY,Completed
TXN00061,2025-01-26,09:44:35,Uber,Transportation,73.83,4532,Purchase,Online,Completed
TXN00062,2025-01-03,19:23:16,Uber,Transportation,45.15,4532,Purchase,Online,Completed
TXN00063,2025-01-02,14:30:11,Whole Foods Market,Groceries,158.0,4532,Purchase,New York NY,Completed
TXN00064,2025-01-11,04:11:24,Uber,Transportation,21.73,4532,Purchase,Online,Completed
TXN00065,2025-01-07,11:54:51,Whole Foods Market,Groceries,105.48,4532,Purchase,New York NY,Completed
TXN00066,2025-01-23,03:14:02,Amazon.com,Shopping,84.05,4532,Purchase,Online,Completed
TXN00067,2025-01-06,03:05:37,Shell Gas Station,Gas & Transportation,214.01,4532,Purchase,Brooklyn NY,Completed
TXN00068,2025-01-25,11:05:29,Apple Store,Shopping,33.8,4532,Purchase,San Francisco CA,Completed
TXN00069,2025-01-26,02:28:25,Whole Foods Market,Groceries,43.39,4532,Purchase,New York NY,Completed
TXN00070,2025-01-27,01:44:54,McDonald's,Food & Dining,214.6,4532,Purchase,New York NY,Completed
TXN00071,2025-01-20,23:39:53,Amazon.com,Shopping,210.88,4532,Purchase,Online,Completed
TXN00072,2025-01-05,14:39:07,McDonald's,Food & Dining,231.43,4532,Purchase,New York NY,Completed
TXN00073,2025-01-02,12:26:50,Starbucks Coffee,Food & Dining,112.89,4532,Purchase,New York NY,Completed
TXN00074,2025-01-09,16:37:20,Uber,Transportation,122.91,4532,Purchase,Online,Completed
TXN00075,2025-01-30,18:18:15,Whole Foods Market,Groceries,162.41,4532,Purchase,New York NY,Completed
TXN00076,2025-01-27,01:43:52,McDonald's,Food & Dining,178.1,4532,Purchase,New York NY,Completed
TXN00077,2025-01-16,01:08:00,Starbucks Coffee,Food & Dining,125.62,4532,Purchase,New York NY,Completed
TXN00078,2025-01-24,17:35:54,Amazon.com,Shopping,64.19,4532,Purchase,Online,Completed
TXN00079,2025-01-30,06:25:40,Whole Foods Market,Groceries,53.44,4532,Purchase,New York NY,Completed
TXN00080,2025-01-04,12:16:28,McDonald's,Food & Dining,104.27,4532,Purchase,New York NY,Completed
TXN00081,2025-01-13,17:52:40,McDonald's,Food & Dining,130.5,4532,Purchase,New York NY,Completed
TXN00082,2025-01-08,05:49:03,Starbucks Coffee,Food & Dining,90.21,4532,Purchase,New York NY,Completed
TXN00083,2025-01-26,15:34:41,McDonald's,Food & Dining,9.24,4532,Purchase,New York NY,Completed
TXN00084,2025-01-03,23:08:52,Shell Gas Station,Gas & Transportation,240.64,4532,Purchase,Brooklyn NY,Completed
TXN00085,2025-01-06,06:49:34,Uber,Transportation,129.69,4532,Purchase,Online,Completed
TXN00086,2025-01-16,12:20:51,Amazon.com,Shopping,212.17,4532,Purchase,Online,Completed
TXN00087,2025-01-31,06:59:32,Uber,Transportation,90.34,4532,Purchase,Online,Completed
TXN00088,2025-01-30,08:13:00,Apple Store,Shopping,71.05,4532,Purchase,San Francisco CA,Completed
TXN00089,2025-01-05,15:01:36,McDonald's,Food & Dining,55.47,4532,Purchase,New York NY,Completed
TXN00090,2025-01-15,22:52:56,Shell Gas Station,Gas & Transportation,82.82,4532,Purchase,Brooklyn NY,Completed
TXN00091,2025-01-22,03:17:25,Amazon.com,Shopping,229.94,4532,Purchase,Online,Completed
TXN00092,2025-01-08,22:17:57,Whole Foods Market,Groceries,187.39,4532,Purchase,New York NY,Completed
TXN00093,2025-01-08,14:45:25,Netflix,Entertainment,88.11,4532,Purchase,Online,Completed
TXN00094,2025-01-29,14:23:51,Amazon.com,Shopping,182.32,4532,Purchase,Online,Completed
TXN00095,2025-01-13,02:14:38,Netflix,Entertainment,195.94,4532,Purchase,Online,Completed
TXN00096,2025-01-23,15:04:01,McDonald's,Food & Dining,67.02,4532,Purchase,New York NY,Completed
TXN00097,2025-01-01,23:26:34,Starbucks Coffee,Food & Dining,63.01,4532,Purchase,New York NY,Completed
TXN00098,2025-01-25,23:39:36,Starbucks Coffee,Food & Dining,110.68,4532,Purchase,New York NY,Completed
TXN00099,2025-01-18,17:33:34,Apple Store,Shopping,193.93,4532,Purchase,San Francisco CA,Completed
TXN00100,2025-01-04,04:46:18,Uber,Transportation,226.02,4532,Purchase,Online,Completed
TXN00101,2025-02-11,12:30:41,Apple Store,Shopping,212.0,4532,Purchase,San Francisco CA,Completed
TXN00102,2025-02-23,12:26:20,Shell Gas Station,Gas & Transportation,57.59,4532,Purchase,Brooklyn NY,Completed
TXN00103,2025-02-20,11:09:12,Netflix,Entertainment,9.15,4532,Purchase,Online,Completed
TXN00104,2025-02-15,14:46:59,McDonald's,Food & Dining,221.44,4532,Purchase,New York NY,Completed
TXN00105,2025-02-17,17:08:17,Amazon.com,Shopping,123.38,4532,Purchase,Online,Completed
TXN00106,2025-02-09,02:18:38,Starbucks Coffee,Food & Dining,208.72,4532,Purchase,New York NY,Completed
TXN00107,2025-02-07,19:28:18,Shell Gas Station,Gas & Transportation,64.62,4532,Purchase,Brooklyn NY,Completed
TXN00108,2025-02-24,00:06:07,Netflix,Entertainment,184.86,4532,Purchase,Online,Completed
TXN00109,2025-02-12,13:35:00,Starbucks Coffee,Food & Dining,47.69,4532,Purchase,New York NY,Completed
TXN00110,2025-02-26,14:26:45,Netflix,Entertainment,241.37,4532,Purchase,Online,Completed
TXN00111,2025-02-03,23:52:39,Shell Gas Station,Gas & Transportation,56.07,4532,Purchase,Brooklyn NY,Completed
TXN00112,2025-02-24,17:51:52,Amazon.com,Shopping,241.04,4532,Purchase,Online,Completed
TXN00113,2025-02-12,23:15:25,Amazon.com,Shopping,19.44,4532,Purchase,Online,Completed
TXN00114,2025-02-01,02:36:55,Amazon.com,Shopping,135.07,4532,Purchase,Online,Completed
TXN00115,2025-02-19,13:45:54,Apple Store,Shopping,116.46,4532,Purchase,San Francisco CA,Completed
TXN00116,2025-02-11,14:18:40,Uber,Transportation,145.06,4532,Purchase,Online,Completed
TXN00117,2025-02-04,07:55:42,Whole Foods Market,Groceries,170.9,4532,Purchase,New York NY,Completed
TXN00118,2025-02-06,14:47:00,Apple Store,Shopping,87.78,4532,Purchase,San Francisco CA,Completed
TXN00119,2025-02-06,08:10:51,Shell Gas Station,Gas & Transportation,205.88,4532,Purchase,Brooklyn NY,Completed
TXN00120,2025-02-16,22:42:35,Netflix,Entertainment,150.53,4532,Purchase,Online,Completed
TXN00121,2025-02-27,13:40:53,Netflix,Entertainment,112.82,4532,Purchase,Online,Completed
TXN00122,2025-02-02,10:59:08,Amazon.com,Shopping,198.05,4532,Purchase,Online,Completed
TXN00123,2025-02-16,00:21:55,Starbucks Coffee,Food & Dining,7.55,4532,Purchase,New York NY,Completed
TXN00124,2025-02-07,02:48:20,McDonald's,Food & Dining,175.91,4532,Purchase,New York NY,Completed
TXN00125,2025-02-08,06:14:05,McDonald's,Food & Dining,18.04,4532,Purchase,New York NY,Completed
TXN00126,2025-02-08,14:23:48,Whole Foods Market,Groceries,96.21,4532,Purchase,New York NY,Completed
TXN00127,2025-02-04,05:44:57,Apple Store,Shopping,156.14,4532,Purchase,San Francisco CA,Completed
TXN00128,2025-02-19,22:58:52,Starbucks Coffee,Food & Dining,163.41,4532,Purchase,New York NY,Completed
TXN00129,2025-02-15,18:08:25,Uber,Transportation,178.81,4532,Purchase,Online,Completed
TXN00130,2025-02-10,09:34:46,Whole Foods Market,Groceries,228.64,4532,Purchase,New York NY,Completed
TXN00131,2025-02-04,06:42:53,Starbucks Coffee,Food & Dining,178.7,4532,Purchase,New York NY,Completed
TXN00132,2025-02-14,21:39:43,Starbucks Coffee,Food & Dining,218.53,4532,Purchase,New York NY,Completed
TXN00133,2025-02-11,18:02:10,Amazon.com,Shopping,158.16,4532,Purchase,Online,Completed
TXN00134,2025-02-11,07:48:42,Apple Store,Shopping,197.76,4532,Purchase,San Francisco CA,Completed
TXN00135,2025-02-07,16:21:52,McDonald's,Food & Dining,187.44,4532,Purchase,New York NY,Completed
TXN00136,2025-02-04,05:46:54,Amazon.com,Shopping,233.46,4532,Purchase,Online,Completed
TXN00137,2025-02-03,20:58:42,Starbucks Coffee,Food & Dining,31.29,4532,Purchase,New York NY,Completed
TXN00138,2025-02-05,01:15:02,Apple Store,Shopping,99.78,4532,Purchase,San Francisco CA,Completed
TXN00139,2025-02-16,02:57:33,Shell Gas Station,Gas & Transportation,229.23,4532,Purchase,Brooklyn NY,Completed
TXN00140,2025-02-19,16:27:33,Whole Foods Market,Groceries,173.31,4532,Purchase,New York NY,Completed
TXN00141,2025-02-18,01:03:44,Amazon.com,Shopping,215.78,4532,Purchase,Online,Completed
TXN00142,2025-02-15,08:51:24,Amazon.com,Shopping,84.1,4532,Purchase,Online,Completed
TXN00143,2025-02-12,10:36:50,Starbucks Coffee,Food & Dining,157.41,4532,Purchase,New York NY,Completed
TXN00144,2025-02-18,18:36:02,Whole Foods Market,Groceries,136.27,4532,Purchase,New York NY,Completed
TXN00145,2025-02-16,08:05:43,Netflix,Entertainment,66.41,4532,Purchase,Online,Completed
TXN00146,2025-02-02,23:35:01,Starbucks Coffee,Food & Dining,173.35,4532,Purchase,New York NY,Completed
TXN00147,2025-02-16,17:58:01,Shell Gas Station,Gas & Transportation,211.17,4532,Purchase,Brooklyn NY,Completed
TXN00148,2025-02-16,16:45:13,McDonald's,Food & Dining,39.96,4532,Purchase,New York NY,Completed
TXN00149,2025-02-22,12:59:38,Netflix,Entertainment,69.65,4532,Purchase,Online,Completed
TXN00150,2025-02-21,02:54:27,Apple Store,Shopping,52.99,4532,Purchase,San Francisco CA,Completed
TXN00151,2025-02-16,16:23:16,Starbucks Coffee,Food & Dining,40.28,4532,Purchase,New York NY,Completed
TXN00152,2025-02-23,07:50:33,Whole Foods Market,Groceries,217.45,4532,Purchase,New York NY,Completed
TXN00153,2025-02-02,09:17:13,Apple Store,Shopping,158.14,4532,Purchase,San Francisco CA,Completed
TXN00154,2025-02-11,06:43:01,Whole Foods Market,Groceries,105.85,4532,Purchase,New York NY,Completed
TXN00155,2025-02-08,19:12:19,Starbucks Coffee,Food & Dining,108.05,4532,Purchase,New York NY,Completed
TXN00156,2025-02-21,08:17:21,Netflix,Entertainment,163.68,4532,Purchase,Online,Completed
